id,title,description,label_session2
gh937,Malicious npm Package Exploits Electron IPC to Steal Credentials from Electron Desktop Application Main Process,"A malicious npm package used as a dependency by an Electron desktop application exploited Electron's inter-process communication channels to send credential theft commands from the renderer process to the main process, accessing file system and OS credential stores that were restricted from renderer process direct access.",AV-400
gh637,Supply Chain Malware Targets LLM Platform API Keys as High-Value New Credential Category for AI Service Access and Abuse,"Security researchers documented that 2025 and 2026 supply chain attack campaigns began specifically targeting LLM platform API keys for services including OpenAI, Anthropic Claude, Google Gemini, and Amazon Bedrock as a high-value new credential category, enabling attackers to abuse expensive AI compute resources at victim expense.",AV-400
gh868,Malicious PyPI Package Injects Code into All Python Files in Current Directory After Installation Creating Persistent Development Environment Backdoor,"A malicious PyPI package documented by Checkmarx injected malicious code into all Python .py files in the current working directory after installation, creating a persistent development environment backdoor that survived package removal and ensured continued credential theft through infected project source files.",AV-400
gh605,Mini Shai-Hulud Writes Malicious Payload to .claude/settings.json and .vscode/tasks.json for Persistent IDE-Level Execution,"The Mini Shai-Hulud malware payload in the Lightning PyPI compromise wrote malicious payload files to .claude/settings.json and .vscode/tasks.json paths, establishing persistence at the IDE configuration level to ensure malicious code executed automatically whenever developers opened their AI coding assistant or VS Code editor.",AV-410
gh722,Dependency Layer No Longer a Side Channel It Is the Channel as Supply Chain Attacks Dominate 2026 Threat Landscape,"Stingrai Research concluded that the software dependency layer is no longer a side channel for attackers but has become the primary attack channel, with three forces driving the 2026 numbers: industrialization of malicious package publication, 9.8 trillion package downloads providing massive attack surface, and registries unable to deplatform malicious packages faster than attackers publish them.",AV-200
gh71,Fake scikit-learn-pandas package on PyPI,"A typosquatting package posed as sklearn-pandas, stealing developer credentials and running shell scripts.",AV-200
gh826,No Unusual Behavior or User Interaction Required as Modern Supply Chain Malware Executes Transparently During Normal Development Workflows,"RapidFort documented that in all major 2026 supply chain attack campaigns the injected payloads executed automatically with no unusual behavior and no required user interaction, running transparently during installation, import, or pipeline execution in ways indistinguishable from normal package initialization by developers and automated security monitoring tools.",AV-400
gh470,Shai-Hulud Second Wave Patches Version Numbers of Infected Packages to Appear as Legitimate Maintainer Updates,"The second wave of the Shai-Hulud supply chain attack patched the version numbers of infected npm packages to make compromised versions appear as normal routine maintenance updates, specifically designed to blend in with legitimate maintainer activity and reduce the likelihood of security team review before installation.",AV-410
gh384,Malicious VS Code Extension Harvests Authentication Tokens from Developer Workstations via IDE Plugin Supply Chain,"A malicious VS Code extension distributed through the Visual Studio Code marketplace harvested GitHub authentication tokens, SSH keys, and cloud credentials from developer workstations, demonstrating IDE plugin supply chains as an undermonitored vector for developer credential theft.",AV-400
gh210,Hibernate ORM CI Pipeline Pulls Malicious Dependency from Attacker-Controlled External URL,"Hibernate ORM's GitHub Actions workflow was vulnerable to Poisoned Pipeline Execution where the build process fetched dependencies from an untrusted external source controlled by the attacker, enabling injection of malicious code into the build process.",AV-410
gh572,Software Vendor Update Channel Compromise Enables Malicious Updates to Be Pushed to All Customers Simultaneously,"Security researchers documented supply chain attacks targeting software vendor update distribution channels, where compromising the signing infrastructure or update server allows attackers to push malicious updates to all customers simultaneously through the same trusted mechanism used for legitimate software updates.",AV-410
gh379,Trojan Source Affects C# .NET Applications Enabling Hidden Logic in Enterprise Software Development,"The original Trojan Source research confirmed C# and the .NET ecosystem are vulnerable to Unicode bidirectional character attacks, with particular concern for enterprise software development where C# applications often handle sensitive financial and healthcare data.",AV-300
gh900,Sonatype Documents Self-Healing Malware npm Package That Reinstalls Itself When Removed Using npm postinstall of Parent Dependency,"Sonatype documented a malicious npm package with self-healing capability that reinstalled itself when removed by registering a postinstall script in a commonly-used parent dependency, ensuring the malware remained present in the development environment even when developers explicitly uninstalled the malicious package.",AV-400
gh889,supply-chain-security-scanner npm Package Itself Contains Supply Chain Malware Targeting Security-Focused Developers,"Security researchers discovered that a malicious npm package named supply-chain-security-scanner itself contained supply chain malware, specifically targeting security-focused developers who actively searched for and installed security tooling, exploiting the irony that developers installing security scanners received malware instead.",AV-200
gh903,Trojan Source Unicode Characters in Prisma Accelerate Configuration Alter Connection Pool Settings and Query Caching Rules,"Security researchers demonstrated Trojan Source attacks in Prisma Accelerate database proxy configuration files where hidden Unicode characters alter connection pool size limits and query result caching duration settings, causing database proxy deployments to apply different performance and resource consumption configurations from what engineers intend.",AV-300
gh60,Dependency confusion vulnerability in GitHub CLI tools,Researchers found GitHub CLI tools vulnerable to pulling public packages over private internal ones.,AV-509
gh169,Trojan Source Examples Repository Demonstrates Unicode Loop Injection Attacks,The trojan-source GitHub repository demonstrates real Trojan Source attack vectors including Unicode-concealed malicious loop injections where hidden control characters cause loop bodies to execute completely different code than what appears in the source file.,AV-300
gh251,axios npm Supply Chain Attack Executes Malicious Payload Only Inside Container Environments,"A compromised axios npm package contained container-aware malicious code that detected Docker and Kubernetes runtime environments before executing its Remote Access Trojan payload, remaining dormant on standard developer workstations to evade detection.",AV-400
gh812,Install-Time Payload Execution Before Build Completes Creates Window Where Credential Theft Occurs Before Any Security Scanning,"Sonatype confirmed that the most sophisticated 2025-2026 malicious packages run malicious code during installation, dropping payloads before builds complete and before any post-build security scanning can analyze package behavior, creating a fundamental window where credential theft occurs before any runtime or behavioral security tools can intervene.",AV-400
gh346,Automated Upgrade Bots Silently Merge Malicious Package Updates into Protected Branches Within Minutes,"Supply chain attacks leveraging automated dependency upgrade bots such as Dependabot and Renovate were documented where malicious package updates were silently merged into protected branches within minutes of publication, with automation tools bypassing human review processes intended to catch supply chain compromises.",AV-410
gh597,Cloud Provider Misconfiguration Causes Unintentional Supply Chain Disruption Equivalent to Deliberate Attack Impact,"Security researchers documented that cloud provider misconfigurations including DNS failures and CDN routing errors cause unintentional supply chain disruptions with impact equivalent to deliberate attack scenarios, demonstrating that supply chain fragility extends to operational failure modes in addition to malicious attack vectors.",AV-410
gh320,cappership PyPI Packages Monkey-Patch Solana Key Generation to Intercept Every Generated Private Key,"PyPI packages published by threat actor cappership monkey-patched Solana key-generation methods at runtime without modifying source code, capturing every private key generated by affected applications and exfiltrating them to attacker infrastructure while providing polished README files and linked GitHub repositories for credibility.",AV-400
gh627,Automated Bot Accounts Create Thousands of PyPI Maintainer Accounts to Upload Malicious Packages at Industrial Scale,"Security researchers documented automated bot account creation campaigns that registered thousands of PyPI maintainer accounts to upload malicious packages at industrial scale, forcing PyPI to implement email verification, CAPTCHA challenges, and new account rate limiting to combat automated malicious package registration campaigns.",AV-200
gh544,Helm Chart Repository Dependency Confusion Delivers Malicious Kubernetes Application Configurations to Enterprise Clusters,"Security researchers documented dependency confusion attacks targeting Helm chart repositories where incorrectly configured chart museum instances resolved charts from public Artifact Hub instead of private repositories, enabling attackers to publish malicious Helm charts that were deployed to enterprise Kubernetes clusters as legitimate application configurations.",AV-509
gh624,Supply Chain Malware Specifically Targets Kubernetes Service Account Tokens and kubeconfig Files for Container Orchestration Access,"Multiple supply chain attack campaigns documented in 2025 and 2026 specifically targeted Kubernetes service account tokens and kubeconfig configuration files, providing attackers with access to container orchestration infrastructure used to run production workloads, enabling lateral movement into Kubernetes clusters hosting sensitive applications.",AV-400
gh696,solana-coin PyPI Package Uses Cryptocurrency Brandjacking to Deploy Four-Payload Malware Split Across Coordinated Campaign,"The malicious PyPI package solana-coin used Solana cryptocurrency brandjacking as part of an eleven-package coordinated attack campaign that split malicious functionality across four distinct payloads, stealing cryptocurrency credentials and Python source code from developers working in the Solana blockchain ecosystem.",AV-200
gh159,Snyk Documents Trojan Source Unicode Trick Modifying Conditional Statement Logic,"Snyk researchers documented the Trojan Source technique where hidden Unicode encoding changes conditional logic execution, causing if-else statements and boolean conditions to evaluate opposite to their visual appearance in code editors and review tools.",AV-300
gh199,NVD Documents CVE-2021-42574 Trojan Source Modifying Control Flow via Unicode,"The National Vulnerability Database documents CVE-2021-42574 where invisible Unicode bidirectional control characters in source code modify control flow execution paths, causing programs to execute fundamentally different logic than what appears in the source file during review.",AV-300
gh664,netfetcher and pyfetcher PyPI Packages Pose as Windows Utilities to Download Malicious Executables Including Fake Netflix Checker,"The malicious PyPI packages netfetcher and pyfetcher posed as legitimate Windows utility tools to download malicious executables including a fake Netflix account checker that went undetected by antivirus tools, exploiting user trust in utility packages to deliver malware that evaded traditional signature-based endpoint security.",AV-200
gh599,Code Signing Certificate Theft Enables Malicious Software to Be Distributed with Legitimate Digital Signatures Bypassing OS Security,"Security researchers documented supply chain attacks involving theft of code signing certificates from software vendors, enabling attackers to digitally sign malicious software with legitimate certificates that bypass operating system security warnings and antivirus scanning tools that trust signed executables from known publishers.",AV-400
gh790,Trojan Source Unicode Characters in Knip Configuration Files Alter Unused Code Detection Rules and Export Analysis Patterns,"Security researchers demonstrated Trojan Source attacks in Knip JavaScript project linting configuration files where hidden Unicode characters alter unused code detection rules and export analysis patterns, causing Knip to misidentify security-critical code as unused and recommend its removal while missing actually unused code that poses maintenance risks.",AV-300
gh382,GitLab CI Pipeline Poisoning via Include Directive Loading Malicious External Configuration,"GitLab CI pipeline poisoning attacks exploit the include directive that loads external YAML configuration files, where attackers modify included configuration sources to inject malicious pipeline stages that execute with the target repository's CI/CD tokens and deployment credentials.",AV-410
gh939,Python Poetry Private Source Authentication Token Exposure Through Dependency Confusion in pyproject.toml Source Priority,"Security researchers documented Poetry dependency confusion attacks where incorrectly ordered source priority in pyproject.toml caused Poetry to expose private repository authentication tokens while attempting to resolve packages from both private and public sources, leaking enterprise registry credentials to attacker-controlled resolution endpoints.",AV-509
gh427,CVE-2024-5083 Sonatype Nexus 2 Stored XSS Enables Maven Artifact Cache Poisoning for Downstream Build Compromise,"CVE-2024-5083 in Sonatype Nexus Repository 2 documented a stored cross-site scripting vulnerability in Maven proxy management that attackers could chain with cache poisoning, causing Nexus to serve malicious Maven artifacts to all downstream Java builds consuming dependencies through the compromised repository.",AV-509
gh201,discord.js-user Malicious npm Package Activates Only When Specific Discord API Commands Are Called,"The malicious discord.js-user npm package appeared functional during installation but only activated its token-stealing payload when specific Discord API commands were executed by the user, evading install-time security scanning.",AV-400
gh578,Dynamic Vendor Risk Profiling Required to Replace One-Time Assessments as Supply Chain Attack Frequency Accelerates,"Traditional one-time vendor security assessments are inadequate for modern supply chain attack threats, requiring organizations to implement continuous dynamic vendor risk profiling that monitors package registries, maintainer account status, and dependency integrity in real-time to detect supply chain compromises before they propagate.",AV-509
gh268,Unit42 Documents Dependency Confusion via Internal Package Names Leaked Through Docker Build Context,"Palo Alto Networks Unit42 documented dependency confusion attacks where internal package names were exposed through Docker build context files and layer history, allowing attackers to register matching public packages and override private dependencies in containerized builds.",AV-509
gh739,@types-node npm Fake Scope Package Typosquats @types/node TypeScript Definitions Attracting 1000 Downloads Per Day,"The malicious npm package @types-node used a hyphen instead of a slash to create a visually similar but distinct scope that typosquatted the widely-used @types/node TypeScript type definitions package, attracting nearly 1,000 downloads per day from TypeScript developers who missed the subtle naming difference.",AV-200
gh77,Unicode redirect in Python test suite,A PR to Python's test suite used bidirectional characters to reroute logic in test conditions.,AV-300
gh872,Bitbucket Pipelines Supply Chain Attack via Compromised Pipe Component Executes Malicious Steps in Atlassian CI/CD Environment,"Security researchers documented supply chain attacks targeting Bitbucket Pipelines pipe components where compromising a published pipe enabled injection of malicious steps that executed with access to pipeline variables, deployment credentials, and Atlassian service connections used across enterprise Bitbucket CI/CD environments.",AV-410
